Orthogroup	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000001	Salpingoeca_rosetta_XP_004988333.1 XP_004988333.1 proprotein convertase subtilisin_kexin type 5 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988175.1 XP_004988175.1 uncharacterized protein PTSG_13079 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993910.1 XP_004993910.1 uncharacterized protein PTSG_12296 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988782.1 XP_004988782.1 uncharacterized protein PTSG_13098_ partial [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989183.1 XP_004989183.1 uncharacterized protein PTSG_09826 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991958.1 XP_004991958.1 uncharacterized protein PTSG_06573 [Salpingoeca rosetta]	Aurelia_aurita_Seg949.9 Seg949.9 transcript_id=Seg949.9_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg949.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1879.3 Seg1879.3 transcript_id=Seg1879.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg1879.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2492.3 Seg2492.3 transcript_id=Seg2492.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2492.3_GoldUCD_D3Y31, Aurelia_aurita_Seg913.6_Seg913.4 Seg913.6_Seg913.4 transcript_id=Seg913.6_Seg913.4_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.6_Seg913.4_GoldUCD_D3Y31, Aurelia_aurita_Seg913.3 Seg913.3 transcript_id=Seg913.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3339.2 Seg3339.2 transcript_id=Seg3339.2_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg3339.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2958.1 Seg2958.1 transcript_id=Seg2958.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2958.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1093.3 Seg1093.3 transcript_id=Seg1093.3_GoldUCD_mRNA.D3Y31 product="Phosphatidylinositol phosphatase PTPRQ" protein_id=Seg1093.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg420.2 Seg420.2 transcript_id=Seg420.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg420.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2740.1 Seg2740.1 transcript_id=Seg2740.1_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like" protein_id=Seg2740.1_GoldUCD_D3Y31
OG0000001	Salpingoeca_rosetta_XP_004994797.1 XP_004994797.1 uncharacterized protein PTSG_12094 [Salpingoeca rosetta]	Aurelia_aurita_Seg368.1 Seg368.1 transcript_id=Seg368.1_GoldUCD_mRNA.D3Y31 product="Nucleolar GTP-binding protein 2" protein_id=Seg368.1_GoldUCD_D3Y31 partial=true
OG0000001	Salpingoeca_rosetta_XP_004990163.1 XP_004990163.1 uncharacterized protein PTSG_12793 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996713.1 XP_004996713.1 laminin alpha 5 chain [Salpingoeca rosetta]	Aurelia_aurita_Seg6442.1 Seg6442.1 transcript_id=Seg6442.1_GoldUCD_mRNA.D3Y31 product=Usherin protein_id=Seg6442.1_GoldUCD_D3Y31 partial=true
OG0000001	Salpingoeca_rosetta_XP_004993731.1 XP_004993731.1 laminin alpha 5 chain [Salpingoeca rosetta]	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31, Aurelia_aurita_Seg359.1 Seg359.1 transcript_id=Seg359.1_GoldUCD_mRNA.D3Y31 product=Netrin-1 protein_id=Seg359.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg9198.1 Seg9198.1 transcript_id=Seg9198.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg9198.1_GoldUCD_D3Y31, Aurelia_aurita_Seg80.10 Seg80.10 transcript_id=Seg80.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.10_GoldUCD_D3Y31, Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31, Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true
OG0000003	Salpingoeca_rosetta_XP_004988103.1 XP_004988103.1 uncharacterized protein PTSG_10568 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004994258.1 XP_004994258.1 uncharacterized protein PTSG_04943 [Salpingoeca rosetta]	Aurelia_aurita_Seg5572.2 Seg5572.2 transcript_id=Seg5572.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5572.2_GoldUCD_D3Y31 partial=true
OG0000003	Salpingoeca_rosetta_XP_004995286.1 XP_004995286.1 lung surfactant protein A [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992387.1 XP_004992387.1 salivary C-type lectin [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997986.1 XP_004997986.1 C-type lectin [Salpingoeca rosetta]	Aurelia_aurita_Seg1040.6 Seg1040.6 transcript_id=Seg1040.6_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1040.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg929.1 Seg929.1 transcript_id=Seg929.1_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg929.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4523.1 Seg4523.1 transcript_id=Seg4523.1_GoldUCD_mRNA.D3Y31 product="Macrophage mannose receptor 1" pseudo=true protein_id=Seg4523.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg432.9 Seg432.9 transcript_id=Seg432.9_GoldUCD_mRNA.D3Y31 product="CD209 antigen-like protein A" protein_id=Seg432.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1086.6 Seg1086.6 transcript_id=Seg1086.6_GoldUCD_mRNA.D3Y31 product="Hepatic lectin" protein_id=Seg1086.6_GoldUCD_D3Y31, Aurelia_aurita_Seg2902.3 Seg2902.3 transcript_id=Seg2902.3_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg2902.3_GoldUCD_D3Y31
OG0000003	Salpingoeca_rosetta_XP_004996162.1 XP_004996162.1 uncharacterized protein PTSG_11902 [Salpingoeca rosetta]	Aurelia_aurita_Seg17386.1 Seg17386.1 transcript_id=Seg17386.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg17386.1_GoldUCD_D3Y31
OG0000003	Salpingoeca_rosetta_XP_004996124.1 XP_004996124.1 uncharacterized protein PTSG_11898 [Salpingoeca rosetta]	Aurelia_aurita_Seg288.7 Seg288.7 transcript_id=Seg288.7_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.7_GoldUCD_D3Y31 partial=true
OG0000004	Salpingoeca_rosetta_XP_004993085.1 XP_004993085.1 uncharacterized protein PTSG_12412 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004995902.1 XP_004995902.1 uncharacterized protein PTSG_11996 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990682.1 XP_004990682.1 uncharacterized protein PTSG_12722 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998822.1 XP_004998822.1 uncharacterized protein PTSG_11571 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998150.1 XP_004998150.1 uncharacterized protein PTSG_00683 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997256.1 XP_004997256.1 uncharacterized protein PTSG_01285 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998828.1 XP_004998828.1 uncharacterized protein PTSG_00277 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990645.1 XP_004990645.1 uncharacterized protein PTSG_08395 [Salpingoeca rosetta]	Aurelia_aurita_Seg5081.1 Seg5081.1 transcript_id=Seg5081.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5081.1_GoldUCD_D3Y31 partial=true
OG0000004	Salpingoeca_rosetta_XP_004997926.1 XP_004997926.1 uncharacterized protein PTSG_11807 [Salpingoeca rosetta]	Aurelia_aurita_Seg27.2 Seg27.2 transcript_id=Seg27.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg27.2_GoldUCD_D3Y31
OG0000004	Salpingoeca_rosetta_XP_004991251.1 XP_004991251.1 uncharacterized protein PTSG_08226 [Salpingoeca rosetta]	Aurelia_aurita_Seg3985.4 Seg3985.4 transcript_id=Seg3985.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg3985.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1706.3 Seg1706.3 transcript_id=Seg1706.3_GoldUCD_mRNA.D3Y31 product=Fibropellin-3 protein_id=Seg1706.3_GoldUCD_D3Y31
OG0000004	Salpingoeca_rosetta_XP_004995793.1 XP_004995793.1 NOTCH2 protein [Salpingoeca rosetta]	Aurelia_aurita_Seg6275.1 Seg6275.1 transcript_id=Seg6275.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6275.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.6 Seg1821.6 transcript_id=Seg1821.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1821.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.5 Seg1821.5 transcript_id=Seg1821.5_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1821.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1839.10 Seg1839.10 transcript_id=Seg1839.10_GoldUCD_mRNA.D3Y31 product="Cadherin-related tumor suppressor" protein_id=Seg1839.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6275.2 Seg6275.2 transcript_id=Seg6275.2_GoldUCD_mRNA.D3Y31 product="Adhesion G protein-coupled receptor B2" protein_id=Seg6275.2_GoldUCD_D3Y31 partial=true
OG0000006	Salpingoeca_rosetta_XP_004988205.1 XP_004988205.1 uncharacterized protein PTSG_13105 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991729.1 XP_004991729.1 epidermal growth factor [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989074.1 XP_004989074.1 uncharacterized protein PTSG_09719 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996042.1 XP_004996042.1 C-type MBL-2 protein [Salpingoeca rosetta]	Aurelia_aurita_Seg5645.2 Seg5645.2 transcript_id=Seg5645.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5645.2_GoldUCD_D3Y31 partial=true
OG0000008	Salpingoeca_rosetta_XP_004989846.1 XP_004989846.1 uncharacterized protein PTSG_09047 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991861.1 XP_004991861.1 uncharacterized protein PTSG_06479 [Salpingoeca rosetta]	Aurelia_aurita_Seg2080.6 Seg2080.6 transcript_id=Seg2080.6_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg2080.6_GoldUCD_D3Y31, Aurelia_aurita_Seg713.3 Seg713.3 transcript_id=Seg713.3_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg713.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1414.8 Seg1414.8 transcript_id=Seg1414.8_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1414.8_GoldUCD_D3Y31, Aurelia_aurita_Seg821.1 Seg821.1 transcript_id=Seg821.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg821.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1355.1 Seg1355.1 transcript_id=Seg1355.1_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1355.1_GoldUCD_D3Y31, Aurelia_aurita_Seg57.4 Seg57.4 transcript_id=Seg57.4_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 1" protein_id=Seg57.4_GoldUCD_D3Y31, Aurelia_aurita_Seg19.3 Seg19.3 transcript_id=Seg19.3_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg19.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6790.1 Seg6790.1 transcript_id=Seg6790.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg6790.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg750.16 Seg750.16 transcript_id=Seg750.16_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg750.16_GoldUCD_D3Y31, Aurelia_aurita_Seg3770.1 Seg3770.1 transcript_id=Seg3770.1_GoldUCD_mRNA.D3Y31 product="putative skeletal organic matrix protein 5" protein_id=Seg3770.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg483.2 Seg483.2 transcript_id=Seg483.2_GoldUCD_mRNA.D3Y31 product=Fibropellin-3 protein_id=Seg483.2_GoldUCD_D3Y31, Aurelia_aurita_Seg446.3 Seg446.3 transcript_id=Seg446.3_GoldUCD_mRNA.D3Y31 product="Versican core protein" protein_id=Seg446.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg446.6 Seg446.6 transcript_id=Seg446.6_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg446.6_GoldUCD_D3Y31, Aurelia_aurita_Seg2865.2 Seg2865.2 transcript_id=Seg2865.2_GoldUCD_mRNA.D3Y31 product="Sushi nidogen and EGF-like domain-containing protein 1" protein_id=Seg2865.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2865.1 Seg2865.1 transcript_id=Seg2865.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-3 protein_id=Seg2865.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4024.3 Seg4024.3 transcript_id=Seg4024.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4024.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg483.5 Seg483.5 transcript_id=Seg483.5_GoldUCD_mRNA.D3Y31 product=Fibropellin-3 protein_id=Seg483.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg612.5 Seg612.5 transcript_id=Seg612.5_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg612.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3969.3 Seg3969.3 transcript_id=Seg3969.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3969.3_GoldUCD_D3Y31 partial=true
OG0000008	Salpingoeca_rosetta_XP_004996065.1 XP_004996065.1 fibropellin Ia [Salpingoeca rosetta]	Aurelia_aurita_Seg3522.1 Seg3522.1 transcript_id=Seg3522.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg3522.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5732.1 Seg5732.1 transcript_id=Seg5732.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg5732.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1571.3 Seg1571.3 transcript_id=Seg1571.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1571.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg275.10 Seg275.10 transcript_id=Seg275.10_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg275.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5012.1 Seg5012.1 transcript_id=Seg5012.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg5012.1_GoldUCD_D3Y31
OG0000020	Salpingoeca_rosetta_XP_004997835.1 XP_004997835.1 uncharacterized protein PTSG_11789 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004999076.1 XP_004999076.1 uncharacterized protein PTSG_11601 [Salpingoeca rosetta]	Aurelia_aurita_Seg2225.1 Seg2225.1 transcript_id=Seg2225.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg2225.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg308.7 Seg308.7 transcript_id=Seg308.7_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg308.7_GoldUCD_D3Y31 partial=true
OG0000022	Salpingoeca_rosetta_XP_004988766.1 XP_004988766.1 annexin A7 [Salpingoeca rosetta]	Aurelia_aurita_Seg940.20 Seg940.20 transcript_id=Seg940.20_GoldUCD_mRNA.D3Y31 product="Annexin A7" protein_id=Seg940.20_GoldUCD_D3Y31 partial=true
OG0000022	Salpingoeca_rosetta_XP_004990725.1 XP_004990725.1 annexin A7 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998202.1 XP_004998202.1 uncharacterized protein PTSG_11636 [Salpingoeca rosetta]	Aurelia_aurita_Seg6005.1 Seg6005.1 transcript_id=Seg6005.1_GoldUCD_mRNA.D3Y31 product="Annexin A7" protein_id=Seg6005.1_GoldUCD_D3Y31
OG0000030	Salpingoeca_rosetta_XP_004993196.1 XP_004993196.1 ADAM-17 protein [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992519.1 XP_004992519.1 uncharacterized protein PTSG_07102 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990777.1 XP_004990777.1 uncharacterized protein PTSG_07278 [Salpingoeca rosetta]	Aurelia_aurita_Seg1709.3 Seg1709.3 transcript_id=Seg1709.3_GoldUCD_mRNA.D3Y31 product="ADAM 17-like protease" protein_id=Seg1709.3_GoldUCD_D3Y31
OG0000030	Salpingoeca_rosetta_XP_004994795.1 XP_004994795.1 uncharacterized protein PTSG_03901 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988368.1 XP_004988368.1 uncharacterized protein PTSG_10317 [Salpingoeca rosetta]	Aurelia_aurita_Seg5003.4 Seg5003.4 transcript_id=Seg5003.4_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 10" protein_id=Seg5003.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg604.5 Seg604.5 transcript_id=Seg604.5_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 10" protein_id=Seg604.5_GoldUCD_D3Y31
OG0000034	Salpingoeca_rosetta_XP_004991206.1 XP_004991206.1 wnt inhibitory factor 1 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004999045.1 XP_004999045.1 laminin B1 [Salpingoeca rosetta]	Aurelia_aurita_Seg2034.3 Seg2034.3 transcript_id=Seg2034.3_GoldUCD_mRNA.D3Y31 product="Multiple epidermal growth factor-like domains protein 8" protein_id=Seg2034.3_GoldUCD_D3Y31
OG0000037	Salpingoeca_rosetta_XP_004988755.1 XP_004988755.1 uncharacterized protein PTSG_10789 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998655.1 XP_004998655.1 uncharacterized protein PTSG_11543 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996893.1 XP_004996893.1 uncharacterized protein PTSG_11875 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004994806.1 XP_004994806.1 uncharacterized protein PTSG_03911 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004994760.1 XP_004994760.1 uncharacterized protein PTSG_04670 [Salpingoeca rosetta]	Aurelia_aurita_Seg2414.3 Seg2414.3 transcript_id=Seg2414.3_GoldUCD_mRNA.D3Y31 product=Zonadhesin protein_id=Seg2414.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6931.1 Seg6931.1 transcript_id=Seg6931.1_GoldUCD_mRNA.D3Y31 product="Transforming growth factor-beta-induced protein ig-h3" protein_id=Seg6931.1_GoldUCD_D3Y31
