Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Nematoda_Chromadorea_Caenorhabditis_elegans
OG0000000	Morbakka_virulenta_scaffold713.g2.t2 scaffold713.g2.t2, Morbakka_virulenta_scaffold713.g2.t1 scaffold713.g2.t1, Morbakka_virulenta_scaffold16.g2.t1 scaffold16.g2.t1	Caenorhabditis_elegans_D1009.3b D1009.3b
OG0000001	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2	Caenorhabditis_elegans_C54D1.5 C54D1.5
OG0000001	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1	Caenorhabditis_elegans_T22A3.8 T22A3.8
OG0000002	Morbakka_virulenta_scaffold479.g8.t1 scaffold479.g8.t1	Caenorhabditis_elegans_Y8A9A.2 Y8A9A.2, Caenorhabditis_elegans_D1037.2 D1037.2
OG0000002	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1	Caenorhabditis_elegans_Y71G12B.20d Y71G12B.20d, Caenorhabditis_elegans_Y54E5B.1c Y54E5B.1c
OG0000002	Morbakka_virulenta_scaffold326.g8.t4 scaffold326.g8.t4, Morbakka_virulenta_scaffold326.g8.t3 scaffold326.g8.t3	Caenorhabditis_elegans_C02B4.1b C02B4.1b
OG0000003	Morbakka_virulenta_scaffold71.g67.t1 scaffold71.g67.t1	Caenorhabditis_elegans_F58A4.5 F58A4.5
OG0000003	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1, Morbakka_virulenta_scaffold14.g14.t1 scaffold14.g14.t1, Morbakka_virulenta_scaffold4.g126.t1 scaffold4.g126.t1, Morbakka_virulenta_scaffold4.g126.t2 scaffold4.g126.t2	Caenorhabditis_elegans_K02F3.5 K02F3.5
OG0000003	Morbakka_virulenta_scaffold35.g61.t1 scaffold35.g61.t1, Morbakka_virulenta_scaffold35.g61.t3 scaffold35.g61.t3	Caenorhabditis_elegans_Y48E1B.9b Y48E1B.9b, Caenorhabditis_elegans_Y48E1B.16 Y48E1B.16
OG0000004	Morbakka_virulenta_scaffold495.g5.t1 scaffold495.g5.t1, Morbakka_virulenta_scaffold292.g12.t1 scaffold292.g12.t1, Morbakka_virulenta_scaffold86.g35.t1 scaffold86.g35.t1, Morbakka_virulenta_scaffold1.g67.t2 scaffold1.g67.t2, Morbakka_virulenta_scaffold152.g33.t1 scaffold152.g33.t1, Morbakka_virulenta_scaffold152.g33.t2 scaffold152.g33.t2, Morbakka_virulenta_scaffold1.g56.t1 scaffold1.g56.t1, Morbakka_virulenta_scaffold1.g66.t1 scaffold1.g66.t1, Morbakka_virulenta_scaffold1.g59.t1 scaffold1.g59.t1, Morbakka_virulenta_scaffold1.g57.t1 scaffold1.g57.t1, Morbakka_virulenta_scaffold57.g15.t4 scaffold57.g15.t4, Morbakka_virulenta_scaffold57.g15.t2 scaffold57.g15.t2, Morbakka_virulenta_scaffold57.g15.t3 scaffold57.g15.t3, Morbakka_virulenta_scaffold57.g15.t1 scaffold57.g15.t1, Morbakka_virulenta_scaffold48.g8.t2 scaffold48.g8.t2, Morbakka_virulenta_scaffold48.g8.t1 scaffold48.g8.t1	Caenorhabditis_elegans_C24B9.3 C24B9.3
OG0000005	Morbakka_virulenta_scaffold127.g48.t1 scaffold127.g48.t1, Morbakka_virulenta_scaffold127.g49.t1 scaffold127.g49.t1, Morbakka_virulenta_scaffold177.g27.t1 scaffold177.g27.t1, Morbakka_virulenta_scaffold14.g118.t1 scaffold14.g118.t1, Morbakka_virulenta_scaffold14.g118.t2 scaffold14.g118.t2, Morbakka_virulenta_scaffold14.g119.t1 scaffold14.g119.t1, Morbakka_virulenta_scaffold393.g3.t1 scaffold393.g3.t1, Morbakka_virulenta_scaffold393.g2.t1 scaffold393.g2.t1, Morbakka_virulenta_scaffold159.g55.t1 scaffold159.g55.t1, Morbakka_virulenta_scaffold421.g6.t1 scaffold421.g6.t1, Morbakka_virulenta_scaffold421.g6.t2 scaffold421.g6.t2, Morbakka_virulenta_scaffold421.g14.t1 scaffold421.g14.t1, Morbakka_virulenta_scaffold159.g56.t1 scaffold159.g56.t1, Morbakka_virulenta_scaffold10.g74.t2 scaffold10.g74.t2, Morbakka_virulenta_scaffold10.g74.t1 scaffold10.g74.t1	Caenorhabditis_elegans_K04E7.3 K04E7.3, Caenorhabditis_elegans_T24A11.3 T24A11.3, Caenorhabditis_elegans_C17G1.6b C17G1.6b, Caenorhabditis_elegans_F57C12.1 F57C12.1, Caenorhabditis_elegans_C26C6.3 C26C6.3, Caenorhabditis_elegans_R151.5a R151.5a, Caenorhabditis_elegans_F40E10.1 F40E10.1, Caenorhabditis_elegans_F58B4.1b F58B4.1b, Caenorhabditis_elegans_T02B11.7 T02B11.7, Caenorhabditis_elegans_F46C5.3 F46C5.3, Caenorhabditis_elegans_F58A6.4 F58A6.4, Caenorhabditis_elegans_R10H1.5 R10H1.5, Caenorhabditis_elegans_F42A10.8 F42A10.8, Caenorhabditis_elegans_T23F4.4 T23F4.4
OG0000005	Morbakka_virulenta_scaffold17.g8.t1 scaffold17.g8.t1	Caenorhabditis_elegans_K11G12.1b K11G12.1b, Caenorhabditis_elegans_K09C8.3 K09C8.3, Caenorhabditis_elegans_C37H5.9c C37H5.9c
