Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Chordata_Vertebrata_Coturnix_japonica
OG0000001	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_	Coturnix_japonica_XP_015725071.1 laminin subunit gamma-2 [Coturnix japonica]
OG0000001	Pleurobrachia_bachei_sb_2652422_ sb_2652422_	Coturnix_japonica_XP_015714020.1 netrin-4 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015740591.1 laminin subunit beta-3 [Coturnix japonica], Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica], Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica], Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]
OG0000001	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_	Coturnix_japonica_XP_015732925.1 netrin-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica], Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]
OG0000003	Pleurobrachia_bachei_sb_2654447_ sb_2654447_, Pleurobrachia_bachei_sb_2646239_ sb_2646239_, Pleurobrachia_bachei_sb_2662112_ sb_2662112_	Coturnix_japonica_XP_015739942.1 brevican core protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015742251.2 neurocan core protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728567.1 PREDICTED_ aggrecan core protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705249.1 PREDICTED_ versican core protein isoform X1 [Coturnix japonica]
OG0000003	Pleurobrachia_bachei_sb_2665626_ sb_2665626_	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]
OG0000003	Pleurobrachia_bachei_sb_2654029_ sb_2654029_, Pleurobrachia_bachei_sb_2661432_ sb_2661432_	Coturnix_japonica_XP_015709635.1 tetranectin [Coturnix japonica], Coturnix_japonica_XP_015729671.1 C-type lectin domain family 3 member A [Coturnix japonica]
OG0000003	Pleurobrachia_bachei_sb_2659118_ sb_2659118_, Pleurobrachia_bachei_sb_2655921_ sb_2655921_, Pleurobrachia_bachei_sb_2646600_ sb_2646600_, Pleurobrachia_bachei_sb_2666979_ sb_2666979_, Pleurobrachia_bachei_sb_2656105_ sb_2656105_, Pleurobrachia_bachei_sb_2655552_ sb_2655552_, Pleurobrachia_bachei_sb_2651961_ sb_2651961_	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]
OG0000007	Pleurobrachia_bachei_sb_2645680_ sb_2645680_	Coturnix_japonica_XP_015738107.1 PREDICTED_ LOW QUALITY PROTEIN_ multiple epidermal growth factor-like domains protein 6 [Coturnix japonica]
OG0000010	Pleurobrachia_bachei_sb_2653999_ sb_2653999_	Coturnix_japonica_XP_015704191.1 follistatin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741848.1 follistatin-related protein 3 [Coturnix japonica]
OG0000011	Pleurobrachia_bachei_sb_2646994_ sb_2646994_, Pleurobrachia_bachei_sb_2669487_ sb_2669487_, Pleurobrachia_bachei_sb_2641704_ sb_2641704_	Coturnix_japonica_XP_015730064.1 hepatocyte growth factor-like protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015734132.1 hepatocyte growth factor isoform X4 [Coturnix japonica]
