Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]	Clytia_hemispherica_TCONS_00025161-protein TCONS_00025161-protein, Clytia_hemispherica_TCONS_00004655-protein TCONS_00004655-protein, Clytia_hemispherica_TCONS_00001342-protein TCONS_00001342-protein, Clytia_hemispherica_TCONS_00030218-protein TCONS_00030218-protein, Clytia_hemispherica_TCONS_00004723-protein TCONS_00004723-protein, Clytia_hemispherica_TCONS_00004950-protein TCONS_00004950-protein, Clytia_hemispherica_TCONS_00016324-protein TCONS_00016324-protein, Clytia_hemispherica_TCONS_00009157-protein TCONS_00009157-protein, Clytia_hemispherica_TCONS_00019769-protein TCONS_00019769-protein, Clytia_hemispherica_TCONS_00007420-protein TCONS_00007420-protein, Clytia_hemispherica_TCONS_00030875-protein TCONS_00030875-protein, Clytia_hemispherica_TCONS_00071542-protein TCONS_00071542-protein, Clytia_hemispherica_TCONS_00018659-protein TCONS_00018659-protein, Clytia_hemispherica_TCONS_00012678-protein TCONS_00012678-protein, Clytia_hemispherica_TCONS_00032436-protein TCONS_00032436-protein, Clytia_hemispherica_TCONS_00002325-protein TCONS_00002325-protein, Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein, Clytia_hemispherica_TCONS_00023485-protein TCONS_00023485-protein, Clytia_hemispherica_TCONS_00022085-protein TCONS_00022085-protein, Clytia_hemispherica_TCONS_00037021-protein TCONS_00037021-protein, Clytia_hemispherica_TCONS_00032471-protein TCONS_00032471-protein
OG0000000	Coturnix_japonica_XP_015707743.1 angiopoietin-related protein 5 [Coturnix japonica]	Clytia_hemispherica_TCONS_00034414-protein TCONS_00034414-protein, Clytia_hemispherica_TCONS_00058007-protein TCONS_00058007-protein, Clytia_hemispherica_TCONS_00058501-protein TCONS_00058501-protein, Clytia_hemispherica_TCONS_00008901-protein TCONS_00008901-protein, Clytia_hemispherica_TCONS_00031044-protein TCONS_00031044-protein
OG0000000	Coturnix_japonica_XP_015738452.1 fibroleukin [Coturnix japonica]	Clytia_hemispherica_TCONS_00013531-protein TCONS_00013531-protein, Clytia_hemispherica_TCONS_00072131-protein TCONS_00072131-protein, Clytia_hemispherica_TCONS_00018874-protein TCONS_00018874-protein, Clytia_hemispherica_TCONS_00024208-protein TCONS_00024208-protein
OG0000001	Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica], Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica], Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015724985.1 netrin-G1 isoform X4 [Coturnix japonica]	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein, Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein
OG0000001	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Coturnix_japonica_XP_015710772.1 laminin subunit alpha-1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein
OG0000002	Coturnix_japonica_XP_015709878.1 semaphorin-5A [Coturnix japonica], Coturnix_japonica_XP_015724160.1 semaphorin-5B isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein
OG0000002	Coturnix_japonica_XP_015728452.1 semaphorin-6D isoform X7 [Coturnix japonica], Coturnix_japonica_XP_015705476.1 semaphorin-6A isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015742241.1 semaphorin-6B isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015740145.1 PREDICTED_ semaphorin-6C isoform X3 [Coturnix japonica]	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein
OG0000003	Coturnix_japonica_XP_015739942.1 brevican core protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015742251.2 neurocan core protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728567.1 PREDICTED_ aggrecan core protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705249.1 PREDICTED_ versican core protein isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00053094-protein TCONS_00053094-protein, Clytia_hemispherica_TCONS_00046080-protein TCONS_00046080-protein, Clytia_hemispherica_TCONS_00065030-protein TCONS_00065030-protein
