Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Chordata_Amphioxiformes_Branchiostoma_floridae
OG0000000	Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein	Branchiostoma_floridae_tr_A0A9J7LN89_A0A9J7LN89_BRAFL tr|A0A9J7LN89|A0A9J7LN89_BRAFL Versican core protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118421928 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KUW6_A0A9J7KUW6_BRAFL tr|A0A9J7KUW6|A0A9J7KUW6_BRAFL Collagen alpha-1_XVII_ chain-like OS=Branchiostoma floridae OX=7739 GN=LOC118411872 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTF0_A0A9J7KTF0_BRAFL tr|A0A9J7KTF0|A0A9J7KTF0_BRAFL Collagen alpha-1_I_ chain-like OS=Branchiostoma floridae OX=7739 GN=LOC118411862 PE=4 SV=1
OG0000000	Clytia_hemispherica_TCONS_00013531-protein TCONS_00013531-protein, Clytia_hemispherica_TCONS_00072131-protein TCONS_00072131-protein, Clytia_hemispherica_TCONS_00018874-protein TCONS_00018874-protein, Clytia_hemispherica_TCONS_00024208-protein TCONS_00024208-protein	Branchiostoma_floridae_tr_A0A9J7N944_A0A9J7N944_BRAFL tr|A0A9J7N944|A0A9J7N944_BRAFL Angiopoietin-related protein 6-like OS=Branchiostoma floridae OX=7739 GN=LOC118428430 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein	Branchiostoma_floridae_tr_A0A9J7L7R6_A0A9J7L7R6_BRAFL tr|A0A9J7L7R6|A0A9J7L7R6_BRAFL Laminin subunit beta-1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7W8_A0A9J7L7W8_BRAFL tr|A0A9J7L7W8|A0A9J7L7W8_BRAFL Laminin subunit beta-1-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7Z9_A0A9J7L7Z9_BRAFL tr|A0A9J7L7Z9|A0A9J7L7Z9_BRAFL Laminin subunit beta-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MS81_A0A9J7MS81_BRAFL tr|A0A9J7MS81|A0A9J7MS81_BRAFL Laminin subunit beta-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LAB9_A0A9J7LAB9_BRAFL tr|A0A9J7LAB9|A0A9J7LAB9_BRAFL Laminin subunit beta-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L963_A0A9J7L963_BRAFL tr|A0A9J7L963|A0A9J7L963_BRAFL Laminin subunit beta-1-like isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L8D4_A0A9J7L8D4_BRAFL tr|A0A9J7L8D4|A0A9J7L8D4_BRAFL Laminin subunit beta-1-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MT27_A0A9J7MT27_BRAFL tr|A0A9J7MT27|A0A9J7MT27_BRAFL Laminin subunit beta-1-like isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MR92_A0A9J7MR92_BRAFL tr|A0A9J7MR92|A0A9J7MR92_BRAFL Laminin subunit beta-1-like isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00046695-protein TCONS_00046695-protein	Branchiostoma_floridae_tr_A0A9J7MHE7_A0A9J7MHE7_BRAFL tr|A0A9J7MHE7|A0A9J7MHE7_BRAFL Laminin subunit alpha-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118410231 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein	Branchiostoma_floridae_tr_A0A9J7MKF1_A0A9J7MKF1_BRAFL tr|A0A9J7MKF1|A0A9J7MKF1_BRAFL Neogenin-like OS=Branchiostoma floridae OX=7739 GN=LOC118412265 PE=3 SV=1
OG0000001	Clytia_hemispherica_TCONS_00018494-protein TCONS_00018494-protein, Clytia_hemispherica_TCONS_00018496-protein TCONS_00018496-protein	Branchiostoma_floridae_tr_A0A9J7MY77_A0A9J7MY77_BRAFL tr|A0A9J7MY77|A0A9J7MY77_BRAFL Tenascin-X-like OS=Branchiostoma floridae OX=7739 GN=LOC118421312 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7M7H3_A0A9J7M7H3_BRAFL tr|A0A9J7M7H3|A0A9J7M7H3_BRAFL Phosphatidylinositol phosphatase PTPRQ-like OS=Branchiostoma floridae OX=7739 GN=LOC118429282 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NAS6_A0A9J7NAS6_BRAFL tr|A0A9J7NAS6|A0A9J7NAS6_BRAFL Protein sidekick-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118429283 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M892_A0A9J7M892_BRAFL tr|A0A9J7M892|A0A9J7M892_BRAFL Uncharacterized protein LOC118428459 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M6I6_A0A9J7M6I6_BRAFL tr|A0A9J7M6I6|A0A9J7M6I6_BRAFL Uncharacterized protein LOC118428459 isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M5F2_A0A9J7M5F2_BRAFL tr|A0A9J7M5F2|A0A9J7M5F2_BRAFL Uncharacterized protein LOC118428459 isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N5V0_A0A9J7N5V0_BRAFL tr|A0A9J7N5V0|A0A9J7N5V0_BRAFL Uncharacterized protein LOC118428459 isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein	Branchiostoma_floridae_tr_A0A9J7N9V2_A0A9J7N9V2_BRAFL tr|A0A9J7N9V2|A0A9J7N9V2_BRAFL Protein sidekick-2-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N907_A0A9J7N907_BRAFL tr|A0A9J7N907|A0A9J7N907_BRAFL Protein sidekick-2-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M658_A0A9J7M658_BRAFL tr|A0A9J7M658|A0A9J7M658_BRAFL Protein sidekick-2-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M6J2_A0A9J7M6J2_BRAFL tr|A0A9J7M6J2|A0A9J7M6J2_BRAFL Protein sidekick-2-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NAA0_A0A9J7NAA0_BRAFL tr|A0A9J7NAA0|A0A9J7NAA0_BRAFL Protein sidekick-2-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N8L4_A0A9J7N8L4_BRAFL tr|A0A9J7N8L4|A0A9J7N8L4_BRAFL Protein sidekick-2-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein	Branchiostoma_floridae_tr_A0A9J7N098_A0A9J7N098_BRAFL tr|A0A9J7N098|A0A9J7N098_BRAFL Receptor-type tyrosine-protein phosphatase F-like OS=Branchiostoma floridae OX=7739 GN=LOC118422005 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00033925-protein TCONS_00033925-protein, Clytia_hemispherica_TCONS_00058445-protein TCONS_00058445-protein	Branchiostoma_floridae_tr_A0A9J7HNS8_A0A9J7HNS8_BRAFL tr|A0A9J7HNS8|A0A9J7HNS8_BRAFL Uncharacterized protein LOC118405716 OS=Branchiostoma floridae OX=7739 GN=LOC118405716 PE=4 SV=1
