Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Myxozoa_Thelohanellus_kitauei
OG0000003	Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651	Thelohanellus_kitauei_tr_A0A0C2MFY0_A0A0C2MFY0_THEKT tr|A0A0C2MFY0|A0A0C2MFY0_THEKT Alpha-N-acetylgalactosamine-specific lectin OS=Thelohanellus kitauei OX=669202 GN=RF11_00408 PE=4 SV=1
OG0000004	Xenia_spec_Xe_011402_T1 Xe_011402_T1 Xe_011402	Thelohanellus_kitauei_tr_A0A0C2NCN9_A0A0C2NCN9_THEKT tr|A0A0C2NCN9|A0A0C2NCN9_THEKT VWFA domain-containing protein OS=Thelohanellus kitauei OX=669202 GN=RF11_07965 PE=4 SV=1
OG0000005	Xenia_spec_Xe_020345_T1 Xe_020345_T1 Xe_020345	Thelohanellus_kitauei_tr_A0A0C2J973_A0A0C2J973_THEKT tr|A0A0C2J973|A0A0C2J973_THEKT Metalloendopeptidase OS=Thelohanellus kitauei OX=669202 GN=RF11_08035 PE=4 SV=1
OG0000009	Xenia_spec_Xe_000997_T1 Xe_000997_T1 Xe_000997	Thelohanellus_kitauei_tr_A0A0C2JCL4_A0A0C2JCL4_THEKT tr|A0A0C2JCL4|A0A0C2JCL4_THEKT Bone morphogenetic protein 1 OS=Thelohanellus kitauei OX=669202 GN=RF11_09759 PE=4 SV=1
OG0000010	Xenia_spec_Xe_012929_T1 Xe_012929_T1 Xe_012929, Xenia_spec_Xe_014014_T1 Xe_014014_T1 Xe_014014, Xenia_spec_Xe_004964_T1 Xe_004964_T1 Xe_004964, Xenia_spec_Xe_002513_T1 Xe_002513_T1 Xe_002513, Xenia_spec_Xe_018671_T1 Xe_018671_T1 Xe_018671, Xenia_spec_Xe_012650_T1 Xe_012650_T1 Xe_012650, Xenia_spec_Xe_012927_T1 Xe_012927_T1 Xe_012927	Thelohanellus_kitauei_tr_A0A0C2J7D4_A0A0C2J7D4_THEKT tr|A0A0C2J7D4|A0A0C2J7D4_THEKT Neural cell adhesion molecule 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11012 PE=4 SV=1
OG0000019	Xenia_spec_Xe_000860_T1 Xe_000860_T1 Xe_000860	Thelohanellus_kitauei_tr_A0A0C2NAW9_A0A0C2NAW9_THEKT tr|A0A0C2NAW9|A0A0C2NAW9_THEKT Inhibin beta E chain OS=Thelohanellus kitauei OX=669202 GN=RF11_14678 PE=3 SV=1
OG0000019	Xenia_spec_Xe_002372_T1 Xe_002372_T1 Xe_002372, Xenia_spec_Xe_002371_T1 Xe_002371_T1 Xe_002371, Xenia_spec_Xe_000961_T1 Xe_000961_T1 Xe_000961, Xenia_spec_Xe_000961_T2 Xe_000961_T2 Xe_000961, Xenia_spec_Xe_002679_T1 Xe_002679_T1 Xe_002679	Thelohanellus_kitauei_tr_A0A0C2IZ76_A0A0C2IZ76_THEKT tr|A0A0C2IZ76|A0A0C2IZ76_THEKT Bone morphogenetic protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_05528 PE=3 SV=1
OG0000029	Xenia_spec_Xe_009791_T1 Xe_009791_T1 Xe_009791	Thelohanellus_kitauei_tr_A0A0C2MBA6_A0A0C2MBA6_THEKT tr|A0A0C2MBA6|A0A0C2MBA6_THEKT Contactin-associated protein-like 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_10944 PE=4 SV=1
OG0000030	Xenia_spec_Xe_020361_T1 Xe_020361_T1 Xe_020361, Xenia_spec_Xe_020374_T1 Xe_020374_T1 Xe_020374, Xenia_spec_Xe_008808_T1 Xe_008808_T1 Xe_008808, Xenia_spec_Xe_008342_T1 Xe_008342_T1 Xe_008342, Xenia_spec_Xe_002964_T2 Xe_002964_T2 Xe_002964, Xenia_spec_Xe_002964_T1 Xe_002964_T1 Xe_002964, Xenia_spec_Xe_002964_T3 Xe_002964_T3 Xe_002964, Xenia_spec_Xe_002964_T4 Xe_002964_T4 Xe_002964	Thelohanellus_kitauei_tr_A0A0C2IKU6_A0A0C2IKU6_THEKT tr|A0A0C2IKU6|A0A0C2IKU6_THEKT Disintegrin and metalloproteinase domain-containing protein 17 OS=Thelohanellus kitauei OX=669202 GN=RF11_10145 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2IDG7_A0A0C2IDG7_THEKT tr|A0A0C2IDG7|A0A0C2IDG7_THEKT Disintegrin and metalloproteinase domain-containing protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_02191 PE=4 SV=1
OG0000035	Xenia_spec_Xe_008540_T1 Xe_008540_T1 Xe_008540	Thelohanellus_kitauei_tr_A0A0C2MG52_A0A0C2MG52_THEKT tr|A0A0C2MG52|A0A0C2MG52_THEKT Thrombospondin-2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11948 PE=4 SV=1
