Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000001	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein	Mnemiopsis_leidyi_ML17591a ML17591a
OG0000001	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a
OG0000002	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein	Mnemiopsis_leidyi_ML06976a ML06976a
OG0000002	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein, Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a
OG0000002	Clytia_hemispherica_TCONS_00062091-protein TCONS_00062091-protein	Mnemiopsis_leidyi_ML05299a ML05299a, Mnemiopsis_leidyi_ML016334a ML016334a
OG0000002	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein	Mnemiopsis_leidyi_ML14871a ML14871a, Mnemiopsis_leidyi_ML093048a ML093048a
OG0000002	Clytia_hemispherica_TCONS_00044266-protein TCONS_00044266-protein	Mnemiopsis_leidyi_ML050913a ML050913a
OG0000003	Clytia_hemispherica_TCONS_00052747-protein TCONS_00052747-protein, Clytia_hemispherica_TCONS_00021064-protein TCONS_00021064-protein	Mnemiopsis_leidyi_ML01785a ML01785a
OG0000003	Clytia_hemispherica_TCONS_00053094-protein TCONS_00053094-protein, Clytia_hemispherica_TCONS_00046080-protein TCONS_00046080-protein, Clytia_hemispherica_TCONS_00065030-protein TCONS_00065030-protein	Mnemiopsis_leidyi_ML216321a ML216321a
OG0000003	Clytia_hemispherica_TCONS_00024141-protein TCONS_00024141-protein, Clytia_hemispherica_TCONS_00027918-protein TCONS_00027918-protein, Clytia_hemispherica_TCONS_00015294-protein TCONS_00015294-protein, Clytia_hemispherica_TCONS_00015272-protein TCONS_00015272-protein, Clytia_hemispherica_TCONS_00058579-protein TCONS_00058579-protein, Clytia_hemispherica_TCONS_00060002-protein TCONS_00060002-protein	Mnemiopsis_leidyi_ML056959a ML056959a
OG0000003	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein, Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein, Clytia_hemispherica_TCONS_00002699-protein TCONS_00002699-protein, Clytia_hemispherica_TCONS_00031875-protein TCONS_00031875-protein, Clytia_hemispherica_TCONS_00060536-protein TCONS_00060536-protein	Mnemiopsis_leidyi_ML090113a ML090113a
OG0000005	Clytia_hemispherica_TCONS_00015258-protein TCONS_00015258-protein, Clytia_hemispherica_TCONS_00020465-protein TCONS_00020465-protein	Mnemiopsis_leidyi_ML073034a ML073034a
OG0000005	Clytia_hemispherica_TCONS_00025486-protein TCONS_00025486-protein, Clytia_hemispherica_TCONS_00071313-protein TCONS_00071313-protein, Clytia_hemispherica_TCONS_00020048-protein TCONS_00020048-protein, Clytia_hemispherica_TCONS_00012296-protein TCONS_00012296-protein, Clytia_hemispherica_TCONS_00027133-protein TCONS_00027133-protein	Mnemiopsis_leidyi_ML19042a ML19042a
OG0000005	Clytia_hemispherica_TCONS_00070170-protein TCONS_00070170-protein, Clytia_hemispherica_TCONS_00064563-protein TCONS_00064563-protein, Clytia_hemispherica_TCONS_00002689-protein TCONS_00002689-protein, Clytia_hemispherica_TCONS_00002617-protein TCONS_00002617-protein, Clytia_hemispherica_TCONS_00002686-protein TCONS_00002686-protein, Clytia_hemispherica_TCONS_00051638-protein TCONS_00051638-protein, Clytia_hemispherica_TCONS_00062688-protein TCONS_00062688-protein, Clytia_hemispherica_TCONS_00019373-protein TCONS_00019373-protein	Mnemiopsis_leidyi_ML05712a ML05712a
OG0000007	Clytia_hemispherica_TCONS_00000042-protein TCONS_00000042-protein	Mnemiopsis_leidyi_ML019111a ML019111a
OG0000008	Clytia_hemispherica_TCONS_00073669-protein TCONS_00073669-protein	Mnemiopsis_leidyi_ML128618a ML128618a
OG0000009	Clytia_hemispherica_TCONS_00053164-protein TCONS_00053164-protein	Mnemiopsis_leidyi_ML31401a ML31401a, Mnemiopsis_leidyi_ML007435a ML007435a
OG0000010	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein	Mnemiopsis_leidyi_ML004921a ML004921a
OG0000010	Clytia_hemispherica_TCONS_00002898-protein TCONS_00002898-protein, Clytia_hemispherica_TCONS_00064483-protein TCONS_00064483-protein, Clytia_hemispherica_TCONS_00060277-protein TCONS_00060277-protein, Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein	Mnemiopsis_leidyi_ML00905a ML00905a
OG0000012	Clytia_hemispherica_TCONS_00069193-protein TCONS_00069193-protein, Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein, Clytia_hemispherica_TCONS_00044696-protein TCONS_00044696-protein	Mnemiopsis_leidyi_ML31161a ML31161a, Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a
OG0000012	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a, Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a, Mnemiopsis_leidyi_ML41863a ML41863a
OG0000012	Clytia_hemispherica_TCONS_00021872-protein TCONS_00021872-protein	Mnemiopsis_leidyi_ML189317a ML189317a, Mnemiopsis_leidyi_ML00495a ML00495a
OG0000013	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein	Mnemiopsis_leidyi_ML101013a ML101013a
OG0000013	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein	Mnemiopsis_leidyi_ML06021a ML06021a
OG0000015	Clytia_hemispherica_TCONS_00070639-protein TCONS_00070639-protein, Clytia_hemispherica_TCONS_00003290-protein TCONS_00003290-protein	Mnemiopsis_leidyi_ML25991a ML25991a
OG0000015	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein	Mnemiopsis_leidyi_ML17012a ML17012a
OG0000016	Clytia_hemispherica_TCONS_00016718-protein TCONS_00016718-protein	Mnemiopsis_leidyi_ML282519a ML282519a
OG0000016	Clytia_hemispherica_TCONS_00029218-protein TCONS_00029218-protein	Mnemiopsis_leidyi_ML22971a ML22971a
OG0000019	Clytia_hemispherica_TCONS_00061469-protein TCONS_00061469-protein	Mnemiopsis_leidyi_ML368911a ML368911a, Mnemiopsis_leidyi_ML368915a ML368915a, Mnemiopsis_leidyi_ML102235a ML102235a
OG0000019	Clytia_hemispherica_TCONS_00033833-protein TCONS_00033833-protein	Mnemiopsis_leidyi_ML200252a ML200252a, Mnemiopsis_leidyi_ML200253a ML200253a
