Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Placozoa_Trichoplacidae_Tricoplax_adhaerens
OG0000001	Aurelia_aurita_Seg1378.3 Seg1378.3 transcript_id=Seg1378.3_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg1378.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31	Tricoplax_adhaerens_tr_B3RUG1_B3RUG1_TRIAD tr_B3RUG1_B3RUG1_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_24524 PE=4 SV=1
OG0000001	Aurelia_aurita_Seg5740.4 Seg5740.4 transcript_id=Seg5740.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5740.4_GoldUCD_D3Y31 partial=true	Tricoplax_adhaerens_tr_B3S0H4_B3S0H4_TRIAD tr_B3S0H4_B3S0H4_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57049 PE=4 SV=1
OG0000001	Aurelia_aurita_Seg918.1 Seg918.1 transcript_id=Seg918.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick" protein_id=Seg918.1_GoldUCD_D3Y31 partial=true	Tricoplax_adhaerens_tr_B3RXC1_B3RXC1_TRIAD tr_B3RXC1_B3RXC1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_56157 PE=4 SV=1
OG0000001	Aurelia_aurita_Seg12822.1 Seg12822.1 transcript_id=Seg12822.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg12822.1_GoldUCD_D3Y31 partial=true	Tricoplax_adhaerens_tr_B3RI09_B3RI09_TRIAD tr_B3RI09_B3RI09_TRIAD Fibronectin type-III domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_18482 PE=4 SV=1
OG0000001	Aurelia_aurita_Seg420.2 Seg420.2 transcript_id=Seg420.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg420.2_GoldUCD_D3Y31	Tricoplax_adhaerens_tr_B3RQ47_B3RQ47_TRIAD tr_B3RQ47_B3RQ47_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53774 PE=4 SV=1
OG0000001	Aurelia_aurita_Seg2740.1 Seg2740.1 transcript_id=Seg2740.1_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like" protein_id=Seg2740.1_GoldUCD_D3Y31	Tricoplax_adhaerens_tr_B3RIT3_B3RIT3_TRIAD tr_B3RIT3_B3RIT3_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51357 PE=4 SV=1
OG0000001	Aurelia_aurita_Seg5700.1 Seg5700.1 transcript_id=Seg5700.1_GoldUCD_mRNA.D3Y31 product=Neogenin protein_id=Seg5700.1_GoldUCD_D3Y31 partial=true	Tricoplax_adhaerens_tr_B3S1F7_B3S1F7_TRIAD tr_B3S1F7_B3S1F7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57814 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S9V3_B3S9V3_TRIAD tr_B3S9V3_B3S9V3_TRIAD Fibronectin type-III domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_31669 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S9V4_B3S9V4_TRIAD tr_B3S9V4_B3S9V4_TRIAD Fibronectin type-III domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_31696 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S795_B3S795_TRIAD tr_B3S795_B3S795_TRIAD Fibronectin type-III domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_7606 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S9D0_B3S9D0_TRIAD tr_B3S9D0_B3S9D0_TRIAD Fibronectin type-III domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_31561 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDS8_B3SDS8_TRIAD tr_B3SDS8_B3SDS8_TRIAD Fibronectin type-III domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_3903 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S7A0_B3S7A0_TRIAD tr_B3S7A0_B3S7A0_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_30409 PE=4 SV=1
OG0000001	Aurelia_aurita_Seg253.20 Seg253.20 transcript_id=Seg253.20_GoldUCD_mRNA.D3Y31 product="60S ribosomal protein L4" pseudo=true protein_id=Seg253.20_GoldUCD_D3Y31 partial=true	Tricoplax_adhaerens_tr_B3RI08_B3RI08_TRIAD tr_B3RI08_B3RI08_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52340 PE=4 SV=1
OG0000001	Aurelia_aurita_Seg8698.1 Seg8698.1 transcript_id=Seg8698.1_GoldUCD_mRNA.D3Y31 product="Blastula protease 10" protein_id=Seg8698.1_GoldUCD_D3Y31 partial=true	Tricoplax_adhaerens_tr_B3SDW1_B3SDW1_TRIAD tr_B3SDW1_B3SDW1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62466 PE=4 SV=1
